Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
...1..6............3.....179....5...56.2.81.......6.8....58......2.3..793..9728.5,26,47,8,0,0,0,0,0,0,Easy,
....8...7.3......5.....73...6...5.8....736.......2.1..5.24..7.81..86....6....2.1.,25,41,15,0,0,0,0,0,0,Easy,
5.6.4..7...7..629.3....2........4.86..3.............45...6.....4..7.85...79..3..8,25,42,14,0,0,0,0,0,0,Easy,
..73..14.6.9..4......862.9.7....8.3.....4..19.4...7.688....3...3.2....7..........,26,44,11,0,0,0,0,0,0,Easy,
.9....67.8......54..49.....65.3.8.......5..1..3....7.....6.4..1....3.89.....75...,24,27,30,0,0,0,0,0,0,Easy,
1.9...5....5...37........4.57..1...2..14..7.3......4.....23.1.4...9.6.....6.7..2.,25,55,1,0,0,0,0,0,0,Easy,
....7.8..5..3...4.9..5.1..76.......3..3.14......9.....851.....9.64.3...8.....7...,24,42,15,0,0,0,0,0,0,Easy,
..1.......7..9...89.8.25.....39.6...5............1..723....9.....7.6.2.326...8...,24,42,15,0,0,0,0,0,0,Easy,
....7......26.........9...2...3..8..9..1...6..3..46..12...1....39...47...17.38..4,25,44,12,0,0,0,0,0,0,Easy,
....87..4.4......2..7...93.19.......6.....483.....8.6....3.6........2.7627..1....,24,41,16,0,0,0,0,0,0,Easy,
7586.....4..2....9......6.4......5..59.7...3......8..2.3....8468643...2.2........,26,50,5,0,0,0,0,0,0,Easy,
5.2.......7........431..5..3.47.2.8.79..58..3.......4..1.....3...7....9..8...9..2,25,48,8,0,0,0,0,0,0,Easy,
..9.....17...639...31.2..8...7...8.9.....1.4.3.86...........4....27.9.....3.82.1.,26,44,11,0,0,0,0,0,0,Easy,
..9....1..2.5...98..4..1....4.6.....5.2......9.....5......1..35.....962..3..241..,24,42,15,0,0,0,0,0,0,Easy,
....8.....87.19.2.........56.........92.64.....872.4...4.....91.2.5......6.4.1...,24,42,15,0,0,0,0,0,0,Easy,
.9....47.348.9.....7..258..9.7........2.347.......6.3......9........8.6..546.....,25,47,9,0,0,0,0,0,0,Easy,
.58..1.3..1...........5......729..13..9..4.25...7...4..35...8.4..198....9.......7,26,44,11,0,0,0,0,0,0,Easy,
.15......7.6...........8.7.9...7..854.8..6...15.......6...4..27..26..9...9.2...58,26,49,6,0,0,0,0,0,0,Easy,
1....3....63915.......6.....9....12.7.......4......6.7..5.4.91.9..17...3....3.4.6,26,31,24,0,0,0,0,0,0,Easy,
.51........8....9.96..3.....4....37.5.....8.61..6.7...6...9...4.....8.35819.4....,26,42,13,0,0,0,0,0,0,Easy,
..8...13.4.9...8.......5.27....48...7..3....9..1.7.3.239...7.5...........8...27.3,26,37,18,0,0,0,0,0,0,Easy,
