Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.....97...5.2....62..67.9...6.4...75....8...........3..835.6....4..2..8....7.....,23,42,16,4,0,0,0,0,0,Intermediate,
.4.6.7..52..8.9.....84.3.7.7.5.....36..3...............8....72...3..6.59.9....4..,25,45,11,3,0,0,0,0,0,Intermediate,
..9...6......53..43.8.....2.....19....1..8....4..2..5....4.91...6....4..8......3.,22,45,14,2,0,0,0,0,0,Intermediate,
.7..6.89..9.4.86....1....7.......4.63..........9.....2.....3...4378....9..219..6.,25,39,17,2,0,0,0,0,0,Intermediate,
3...6.....7.1..5...4....9.3....2...........519...5.47..1.273........63...2.....14,24,35,22,1,0,1,0,0,0,Intermediate,
.9..14..8..157....8...9....4.7.5.9....97...5..............4....3......1.7.5...63.,23,41,17,0,2,4,1,0,0,Intermediate,
87.2...3..3.17.2..1.......7..9...31...6.3..9......4.8..28..9............4.18.6...,25,45,11,0,0,2,0,0,0,Intermediate,
.7.....6.4.3.........81....6.....4....85...1.2.1.6......5...32.8....7.5..3....647,24,47,10,1,0,0,0,0,0,Intermediate,
5...43....8.62...............7..1......86...1.3.45.26.....851......3.7..2..1..53.,25,50,6,1,0,0,0,0,0,Intermediate,
.4...87......2.9.4....7.3.55923.......3.......6.....9..597...364.......27....6...,25,39,17,1,0,0,0,0,0,Intermediate,
7.4....5...97.........2.1..12.85...75...93.....8..7....7....3..9...4.....35.....9,24,37,20,0,0,1,0,0,0,Intermediate,
.57..8...1....2..3.3....4...7.3...165.............57.2.6......48..2.3.7...16...2.,25,43,13,2,0,0,0,0,0,Intermediate,
.8.1..4......7.1.2.91.25....28...........9......7482.16.7.1.9...45.........5.....,25,30,26,0,0,1,0,0,0,Intermediate,
7.86...5.4.59.31.......7...............496.....4...3.56.75..4.........91...8.47..,25,50,6,1,0,1,0,0,0,Intermediate,
5.6...4.2...4....6...5.6.7.2...37...........3..16..7.8..3.....7..8.1.24.....2....,24,46,11,2,2,10,0,0,0,Intermediate,
...9......9261.....1....3......8.7.6.6.1....2.75......8.93...217.........2.5.....,23,44,14,1,0,1,0,0,0,Intermediate,
3.....8....6..7..18.12....55.3.687...1.....542..14.6.8...4.........7..6.7........,26,41,14,3,0,0,0,0,0,Intermediate,
.53...........8432....7.......1.....5.....1..18.42....27.....1.....5...4.342..6.8,24,38,19,1,0,0,0,0,0,Intermediate,
.92....35....5.....4.67......9.1547...17..2...6......1...2......7..41.....5...34.,25,43,13,0,1,5,0,0,0,Intermediate,
.......5.3...6942........69...48.....14.....369.1......8..1...5....4....9.5..3..2,24,41,16,1,1,0,0,0,0,Intermediate,
87..1....214........64.5...4.1.7..6.7..8.2....8....9..9..5.........24.......9..78,25,39,17,1,0,0,0,0,0,Intermediate,
......6356......1.7....3...57.34....3......9..6..524...1....2..4.2.1.3.........7.,24,31,26,1,0,0,0,0,0,Intermediate,
.7.......56.9..4.2.93.7....345.....8...63.9......28....86..7....3.4..78.......2..,26,40,15,1,0,1,0,0,0,Intermediate,
.7..8.62..1..2.34.84.6...1...4..7...75..3..8..6...2...........76....8.....8..4...,25,34,22,2,0,1,0,0,0,Intermediate,
...7.51.4...2.....78...3.9.......2..9.5.3.8.1......75..71..9......3.8......17.3..,25,40,16,3,0,0,0,0,0,Intermediate,
....5...75.....42...98.4......2.9.....2.....1.......6.75.98.6.....1.2.5..6..7....,23,40,18,0,1,5,0,0,0,Intermediate,
369.2....8.............62..7.581...9.31.9.....9.6.3..7..7.39....1.58..3.2........,27,52,2,0,1,0,1,0,0,Intermediate,
5..2.......1.9...2....61.9..4....8.38.5...64.1..3.....4.3.....8.12...4...6.....15,26,47,8,3,0,2,0,0,0,Intermediate,
6.85....7.9...2.5...28.1...56......9.....6......14.......297...4.....78..1.......,23,43,15,3,0,0,0,0,0,Intermediate,
.948....1.........57........572.91..81....7......78..564...7.821....46....2......,26,40,15,1,0,1,0,0,0,Intermediate,
..5.2........43.......71.4.312..78....4...25...........276..13..6.....8....13..7.,25,37,19,1,0,0,0,0,0,Intermediate,
4.......2..9..5....57....13......3..2..953.47.....2........4.96...16..7...5..9..4,25,47,9,1,0,0,0,0,0,Intermediate,
.6.......182.....34...1..6....2..51.3.9...8.4...4.....65....9.....8..64..2.....31,25,42,14,1,0,1,0,0,0,Intermediate,
..2.9......3.......8...5.7.....823...9...6.82...9....1.....31...7..1...464...7..8,24,39,18,1,0,0,0,0,0,Intermediate,
..67.........427......1....2....435........6...3.6.....7.4....381...524...2..1.8.,24,47,10,1,0,0,0,0,0,Intermediate,
..6.....2..8..2.3...178.4......1....1..498.6.8..62..........9.....37..8.7..869.1.,27,36,18,3,0,0,0,0,0,Intermediate,
2......3.97.....5...3..2..7.....4...41...........5.3...4.3.1.85..92...71.5..794..,26,51,4,4,0,0,0,0,0,Intermediate,
...7.....69.....424....913...4.7.6.........91.......2..........3.7.4..16..891...3,24,39,18,2,0,2,0,0,0,Intermediate,
7.61.89...35..6.....2..51.......16.3........2.2..8...........68.19.3....5.....3..,24,45,12,4,1,2,1,0,0,Intermediate,
....79..4...5........24..1.....1.......3..8.....98532..19..428..84......27.8...93,27,41,13,0,1,1,0,0,0,Intermediate,
...9.....9.3....7...7.......9.4.8...6.5......2...3...5..8..46...3.82..494....6.52,25,48,8,1,0,0,0,0,0,Intermediate,
...1.782.......4...6..59.......1..7...5...6.2..16....8...94......6.75...1....6259,26,41,14,2,0,0,0,0,0,Intermediate,
16..3.....82......94.....1..3.6......7.84..3...6...8..7.9..1.68......29.3...2..47,27,47,7,1,0,0,0,0,0,Intermediate,
..8..5..9.....9.8.......41....12.9.3.2.....41..3.94.5......1..5...2...6.3.2.5.8..,26,38,17,1,0,1,0,0,0,Intermediate,
.4...29.58..4.1....2..6....76......9........42..7.9...9...27....1..85.27....1....,25,39,17,4,0,0,0,0,0,Intermediate,
.213......36.4..214...2...6....16.....9.......1..9..32...4...75.5....6.4.....19..,26,37,18,3,0,3,0,0,0,Intermediate,
............3.98.......4.6.9...7..4..75.....2.46....9.5...38..7..47...8.....5.62.,24,49,8,1,0,0,0,0,0,Intermediate,
.19..6........4.1.7.....8..296...17.........8..8...39.4.389..6..2...7...8.7....3.,26,47,8,5,0,1,0,0,0,Intermediate,
54...8...1......5.96......8...8.....32..95..448.1...9.......12...1....69694...5..,27,43,11,1,0,0,0,0,0,Intermediate,
.....5..8...8....2.1....56.9.......4.......53542.1.......1.8.2..81.9..4..3..6....,24,41,16,1,0,4,0,0,0,Intermediate,
