,Puzzle,Difficulty
132,.4.6.7..52..8.9.....84.3.7.7.5.....36..3...............8....72...3..6.59.9....4..,Intermediate
134,.7..6.89..9.4.86....1....7.......4.63..........9.....2.....3...4378....9..219..6.,Intermediate
138,.7.....6.4.3.........81....6.....4....85...1.2.1.6......5...32.8....7.5..3....647,Intermediate
139,5...43....8.62...............7..1......86...1.3.45.26.....851......3.7..2..1..53.,Intermediate
140,.4...87......2.9.4....7.3.55923.......3.......6.....9..597...364.......27....6...,Intermediate
142,.57..8...1....2..3.3....4...7.3...165.............57.2.6......48..2.3.7...16...2.,Intermediate
152,......6356......1.7....3...57.34....3......9..6..524...1....2..4.2.1.3.........7.,Intermediate
155,...7.51.4...2.....78...3.9.......2..9.5.3.8.1......75..71..9......3.8......17.3..,Intermediate
159,6.85....7.9...2.5...28.1...56......9.....6......14.......297...4.....78..1.......,Intermediate
161,..5.2........43.......71.4.312..78....4...25...........276..13..6.....8....13..7.,Intermediate
165,..67.........427......1....2....435........6...3.6.....7.4....381...524...2..1.8.,Intermediate
171,...9.....9.3....7...7.......9.4.8...6.5......2...3...5..8..46...3.82..494....6.52,Intermediate
172,...1.782.......4...6..59.......1..7...5...6.2..16....8...94......6.75...1....6259,Intermediate
173,16..3.....82......94.....1..3.6......7.84..3...6...8..7.9..1.68......29.3...2..47,Intermediate
175,.4...29.58..4.1....2..6....76......9........42..7.9...9...27....1..85.27....1....,Intermediate
177,............3.98.......4.6.9...7..4..75.....2.46....9.5...38..7..47...8.....5.62.,Intermediate
179,54...8...1......5.96......8...8.....32..95..448.1...9.......12...1....69694...5..,Intermediate
182,82.7...5.4.382..7..5.1.........68.42..5.....13..............2.8.....35...64......,Intermediate
184,.....87...3...4.8.8..5716....6....3.4..7...581.5.2..........4.2.61.....7.........,Intermediate
185,6.........39..2.1.2........9.83....25....8.6....4.189.3....4..98...5.4.3.5.....8.,Intermediate
186,...7..6.225...64.7....15.9.1.9.4.......3......7.....29.4......56........79.5...6.,Intermediate
187,.7...6.3.1.5......8.23...5.2.....16....14.7.8....5...3............8.7.26...2.1...,Intermediate
188,..8....4......39..........54...1.2..9...3.1..23.54...7..2...37..5.....82..49.....,Intermediate
189,6.3574........2....2.3.......9..3.8..7..4.....4...632......9..2.6.....3...54..6..,Intermediate
194,46...28.....5...3....68.....7.........5......12......5..72.5.1...34...7.8..13.24.,Intermediate
195,.3..........5...1.6..7...9.27..6.15.....1.8..35.......1...2....56..39.2.92...73..,Intermediate
196,.34...85.2...85...7....4.......9.2..8...7..3.....6.9.5...62...9..8.....7....43...,Intermediate
197,9.265..38....91.7........156..3......5.82....1....9........8......9....7..87...5.,Intermediate
200,..3........6.8...2....7.84.....37...6....2.8.859......2....4.3..4...6..5.......67,Intermediate
202,..71...8.39..........2.7....4......9...4..1..732..9....7.........486....6.1.4..23,Intermediate
203,.........1.....5244.9..5.1.9.2.7.8.........39.4.3..7...91....858.........734.2...,Intermediate
