Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
..472...3...94..2..5......6..25..8.......9.37.9..68.54....7....72....6...8.......,25,56,0,0,0,0,0,0,0,Simple,
.....6.8.28.4.5.6.6.9.2...4..8.5..4.5.3.....6.2..9.15.8.....9.........2...2....13,27,54,0,0,0,0,0,0,0,Simple,
.8...62.....9...1..1.3.7.59......19........832.....7..9...1.567...6.....7.8..39..,26,55,0,0,0,0,0,0,0,Simple,
......16.........32......8.5...1...2.1..78.5.3472.....43.8...277....6.4...1..58..,27,54,0,0,0,0,0,0,0,Simple,
3....5...14.6...2..52.41.37................6.....1.795..196.2....7..3.1.9.....3..,26,55,0,0,0,0,0,0,0,Simple,
.83...2569.....7....5...1..7................1.96...3.8..7.319..21.6.9...6..75...2,27,54,0,0,0,0,0,0,0,Simple,
...3.....37..54..9.14.8..7......71...291.....7..4.....4...29....38......1928.....,26,55,0,0,0,0,0,0,0,Simple,
7..8.3..55.2...39..8..6..21.9.......3............1......1..5..9.783..5......82.6.,25,56,0,0,0,0,0,0,0,Simple,
.........2.74...........8..8.675..1..........4928...7...459.1..7.....26..25..1.9.,25,56,0,0,0,0,0,0,0,Simple,
..2...95....7..36.........7..5.4.17......5..4...3...2.5..62..4331..9.........4...,24,57,0,0,0,0,0,0,0,Simple,
..........75.39...2.35.....8........5.68.2....3..45...6..3..92..29...4.73.8......,25,56,0,0,0,0,0,0,0,Simple,
.....9.........537...81...93.25.1.....92.3.4....4....59..18..5278...2.....1.3....,27,54,0,0,0,0,0,0,0,Simple,
.8.235..1...8......64.9......9.584....8......21.......6...24.5.......1.2.3.......,23,58,0,0,0,0,0,0,0,Simple,
........22.4..198..38.7.....5..1....3..9.....8.9.4.7.1....3.1.55...8...3.7..2..4.,27,54,0,0,0,0,0,0,0,Simple,
.......73532.6..........4..2.8...6..75......9......8.78.35.....4..9.8..5.6..2.9..,25,56,0,0,0,0,0,0,0,Simple,
3..5...8....4..2.5....27..498...54.22.....3...7..6..9..9...2.........9.8...37....,25,56,0,0,0,0,0,0,0,Simple,
.....6.73...5..2....7.23..............8.1.7.9..67.952..5...18.6...6379.........3.,26,55,0,0,0,0,0,0,0,Simple,
8.4..71..9...4.....6.3..7...1...9......6..........5.6..3..5.97.5.....61.189...43.,26,55,0,0,0,0,0,0,0,Simple,
.....6....98......75....19.1754.....4....8....36..9.....79836.1..........8..759.4,27,54,0,0,0,0,0,0,0,Simple,
.....1.....1..7.....8.......85...9...9...41.5.....927..12.4..5....796.2...71.2.84,27,54,0,0,0,0,0,0,0,Simple,
1958.3.......5.......6.9....32.......1.9.68......325..9.7..5..82...9.3....31.....,26,55,0,0,0,0,0,0,0,Simple,
...562....9..48..2...93.8.5..7..........8.....2..5......4...78..736...59.65...24.,27,54,0,0,0,0,0,0,0,Simple,
..82..65...3.6.9.....985......7..1.....3.9.78.3..5...........9...6...3.2.85.2...7,26,55,0,0,0,0,0,0,0,Simple,
.643.......5.7..3.8....92.4.4.7635..............2..369...8..47.....2.8.3.......5.,26,55,0,0,0,0,0,0,0,Simple,
2...........64..29......5..3.5....9....9..687.........6..8..9.....4.58.6.342.6.5.,25,56,0,0,0,0,0,0,0,Simple,
